From	To
Q9NV92	NDFIP2
Q9NWM3	CUEDC1
Q9NYG2	ZDHHC3
Q9UBS0	RPS6KB2
Q9UQB9	AURKC
Q9Y243	AKT3
Q9Y2U5	MAP3K2
O15085	ARHGEF11
Q14999	CUL7
Q5TCQ9	MAGI3
Q86UL8	MAGI2
Q92563	SPOCK2
P67775	PPP2CA
O43395	PRPF3
Q5TAQ9	DCAF8
Q9H4K1	RIBC2
Q9NP50	SINHCAF
Q9NR21	PARP11
Q6PJ21	SPSB3
B7Z632	ORC4L
P33991	MCM4
Q9Y5N6	ORC6
O43301	HSPA12A
Q9UPN3	MACF1
P40424	PBX1
Q14258	TRIM25
Q15649	ZNHIT3
Q5VVX9	UBE2U
Q9UBU7	DBF4
O14788	TNFSF11
O43318	MAP3K7
O75582	RPS6KA5
O95257	GADD45G
P04844	RPN2
P05023	ATP1A1
P05026	ATP1B1
P20936	RASA1
P28072	PSMB6
Q12789	GTF3C1
Q14181	POLA2
Q9GZS3	WDR61
Q9H5J8	TAF1D
Q9UBS4	DNAJB11
Q9Y237	PIN4
Q9Y2U9	KLHDC2
Q5T3J3	LRIF1
Q05516	ZBTB16
B7ZLH0	FAM22F
B9A6J3	RUTBC1
O43570	CA12
P00533	EGFR
P02771	AFP
P62851	RPS25
Q00013	MPP1
Q5T0N5	FNBP1L
Q96B86	RGMA
Q9HCC8	GDPD2
Q9NRX1	PNO1
Q9NYQ7	CELSR3
B9A6J5	RUTBC3
P42766	RPL35
C0H5X2	FLJ38668
Q9BZW7	TSGA10
C3PTT6	PAUF
C9J442	C22orf46
D3DR40	C10orf4
Q8WV44	TRIM41
D4Q8H0	pk
Q8N184	ZNF567
D9IAI1	HEL-S-34
O76061	STC2
P27986	PIK3R1
Q5VU97	CACHD1
Q8TAX9	GSDMB
Q9BTT4	MED10
O15321	TM9SF1
P54257	HAP1
Q9HAU4	SMURF2
E5KQS5	hCG_2044837
Q96BY9	SARAF
Q9UI14	RABAC1
P46783	RPS10
P57678	GEMIN4
Q5JVF3	PCID2
E5KS95	TSFM
P49917	LIG4
P61956	SUMO2
Q9H8T0	AKTIP
E7ETH6	ZNF587B
P35637	FUS
Q92979	EMG1
P00325	ADH1B
P12236	SLC25A6
P61586	RHOA
Q16659	MAPK6
Q92615	LARP4B
Q92905	COPS5
Q96GD4	AURKB
Q9Y2P4	SLC27A6
P04233	CD74
P22736	NR4A1
Q8WWM7	ATXN2L
Q9UG63	ABCF2
E9PAV3	NACA
P51693	APLP1
Q5UIP0	RIF1
Q96ID5	IGSF21
Q9BWH2	FUNDC2
Q9GZT6	CCDC90B
Q9UKY1	ZHX1
E9PJI5	NPIPA7
Q9BUZ4	TRAF4
F1D8N5	NR3C4
Q12756	KIF1A
F1D8N7	THRB
F1D8Q5	NR2B1
F1D8Q7	NR2B3
P28702	RXRB
P48443	RXRG
P48552	NRIP1
P62195	PSMC5
Q13347	EIF3I
Q15651	HMGN3
Q15788	NCOA1
Q96EY9	ADAT3
Q9Y6Q9	NCOA3
F1D8P1	NR1B3
Q12796	PNRC1
Q96JE9	MAP6
Q9NPJ4	PNRC2
Q9UKP3	ITGB1BP2
Q9Y618	NCOR2
F1D8P6	NR1F3
Q14686	NCOA6
F1D8P8	NR1i1
O15228	GNPAT
P08603	CFH
P14314	PRKCSH
P30281	CCND3
P42785	PRCP
P55055	NR1H2
Q09472	EP300
Q15466	NR0B2
Q6P4E1	GOLM2
Q7LFL8	CXXC5
Q8N2M8	CLASRP
Q969F2	NKD2
Q9H0R8	GABARAPL1
Q9H8L6	MMRN2
F1D8Q4	NR2A2
P04406	GAPDH
P12931	SRC
P30041	PRDX6
P48788	TNNI2
Q16534	HLF
Q96S59	RANBP9
F1D8S7	NR1C2
O75469	NR1I2
P08235	NR3C2
P10276	RARA
P10827	THRA
P11473	VDR
P13631	RARG
P24522	GADD45A
P32189	GK
P42224	STAT1
P42575	CASP2
P43354	NR4A2
P57727	TMPRSS3
Q9BZL6	PRKD2
Q9UK32	RPS6KA6
F1D8S4	NR1C1
P05060	CHGB
P09016	HOXD4
P10826	RARB
P27816	MAP4
Q03701	CEBPZ
Q96RI1	NR1H4
F1D8R5	NR3B3
P11474	ESRRA
Q00526	CDK3
Q96MF2	STAC3
F1D8S6	NR1B2
Q92786	PROX1
F1D8T1	NR2A1
P01160	NPPA
P61457	PCBD1
Q92688	ANP32B
O14948	TFEC
Q5VWX1	KHDRBS2
Q9Y5P8	PPP2R3B
G1UCX3	SPACIA1
P27448	MARK3
O60232	ZNRD2
O75344	FKBP6
P07910	HNRNPC
P35711	SOX5
P61024	CKS1B
P63165	SUMO1
Q01826	SATB1
